Date,WeightP,WeightK
9/19/2022,210.541460386675,95.5000
9/21/2022,210.541460386675,95.5000
9/26/2022,207.2345264539,94.0000
10/3/2022,210.541460386675,95.5000
10/4/2022,210.541460386675,95.5000
10/7/2022,209.88007360012,95.2000
10/8/2022,209.88007360012,95.2000
10/9/2022,207.2345264539,94.0000
10/11/2022,207.01406419171502,93.9000
10/17/2022,208.55730002701,94.6000
10/18/2022,208.11637550264,94.4000
10/25/2022,207.67545097827002,94.2000
10/31/2022,209.659611337935,95.1000
11/1/2022,208.11637550264,94.4000
11/3/2022,206.35267740516,93.6000
11/4/2022,207.01406419171502,93.9000
11/5/2022,207.01406419171502,93.9000
11/6/2022,206.573139667345,93.7000
11/15/2022,213.84839431945,97.0000
11/16/2022,210.32099812449002,95.4000
11/17/2022,208.777762289195,94.7000
11/18/2022,207.67545097827002,94.2000
11/19/2022,206.79360192952998,93.8000
11/20/2022,208.336837764825,94.5000
11/21/2022,208.336837764825,94.5000
11/22/2022,207.2345264539,94.0000
11/23/2022,205.691290618605,93.3000
11/24/2022,207.01406419171502,93.9000
12/13/2022,208.777762289195,94.7000
